Name,PE_14,PE_8,PE_9,PN_16,PN_17,PN_9
PB.3238.1,3.23419,2.26864,1.83243,4.59065,3.98512,0.699475
PB.7272.9,6.09403,3.4777,15.4495,0.781855,0.0,7.50321
PB.11594.2,2.33147,0.0,0.0,2.39299,3.33924,0.0
PB.3235.4,0.0,1.52868,2.92621,0.681573,0.732026,1.89381
PB.4069.4,5.62868,1.07072,3.45937,4.56985,13.9719,0.0
PB.1466.3,7.795,1.6486,4.48436,8.10842,7.02094,0.0
PB.11232.2,0.0,0.0,2.47482,4.22552,4.20001,0.0
PB.3234.5,0.0,1.0651,0.0,0.957824,2.13825,1.31313
PB.6715.4,3.165,0.752474,3.006,2.57816,0.602091,0.747589
PB.4616.1,4.3809,0.898801,0.0,1.9082,1.85963,0.0
PB.5840.14,2.14422,1.55771,0.0,1.30028,6.07405,1.28367
PB.3234.2,0.0,0.593054,0.820455,0.727358,0.428216,0.0
PB.3526.14,5.41038,7.23379,1.29629,2.00605,6.13766,1.96406
PB.10572.2,4.50482,6.31327,2.37426,5.50868,1.95124,4.30521
PB.3703.3,4.29925,6.24643,3.96343,7.48285,9.35839,5.44466
PB.7755.5,25.1239,17.197,25.2076,20.4754,17.9353,15.4665
PB.2071.1,2.34685,5.94041,5.40884,3.61318,5.12561,9.08141
PB.1863.1,0.0,1.29598,0.523394,0.291362,1.62609,1.19833
PB.4358.3,3.05285,0.497766,2.81439,0.447631,2.25406,2.14788
PB.1091.2,0.0,4.18769,1.94139,11.223,2.87425,0.0
PB.6992.2,0.0,1.30864,0.0,1.17257,0.8896,0.0
PB.3232.1,0.92111,0.0,4.24643,1.41813,0.527637,2.59225
PB.1972.1,0.0,0.458018,3.6995,0.0,0.459747,0.0
PB.8063.13,0.0,0.584276,0.920395,0.0,0.5719,0.0
PB.4240.1,38.9915,33.9692,58.7003,28.4106,29.6391,21.8553
PB.3230.1,0.0,0.928612,9.00071,5.01049,9.32119,3.43458
PB.4892.9,0.0,0.750968,2.03521,3.52987,0.0,0.0
PB.3228.3,2.21267,0.631355,3.05975,3.97435,2.53496,2.51158
PB.10359.2,5.27715,5.52587,5.7599,5.50843,6.84157,4.24323
PB.3228.2,1.53029,2.39154,2.79768,2.13276,3.75713,2.1954
PB.3228.1,1.74065,1.66287,0.85615,8.13665,8.0479,2.20751
PB.11473.5,4.20633,3.50955,3.78099,2.38101,7.63543,5.04991
PB.1443.2,3.45717,0.0,2.39034,1.7742,1.98036,3.04043
PB.3227.4,0.863058,0.460095,0.0,2.0463,0.0,0.0
PB.6273.6,5.95192,0.0,0.0,0.896583,1.08688,0.0
PB.3227.3,0.0,0.511088,2.15466,1.02708,1.30409,1.04875
PB.3226.2,1.05504,1.20415,1.94526,0.54144,0.604356,0.74229
PB.3338.3,80.242,91.1863,61.3814,114.179,125.137,64.4301
PB.7126.4,3.80775,1.08649,1.75516,4.88529,3.27177,4.0185
PB.9200.1,12.4431,6.52538,8.49859,1.95458,0.0,3.60343
PB.3225.3,1.9402,2.0836,1.83626,5.86006,10.0768,0.0
PB.3225.1,51.8611,54.6734,49.3925,78.6619,91.0929,49.2256
PB.9027.1,3.35819,1.91643,3.09587,5.17021,3.84733,4.72542
PB.3223.4,2.34685,0.0,1.39289,2.03939,0.0,0.0
PB.2026.1,10.4463,8.94216,11.0061,11.1049,6.41137,6.29973
PB.5403.11,3.72942,2.10261,1.69832,2.83625,1.05527,2.62339
PB.3223.3,0.0,0.356842,0.0,1.12174,1.98558,0.629907
PB.8850.1,1.18093,1.97678,0.0,0.0,1.32029,0.0
PB.3224.10,0.0,0.89532,1.44633,0.822942,0.898701,2.20763
PB.3947.1,8.38217,6.68939,7.09782,5.59889,10.3224,5.53979
PB.2536.5,0.0,0.0,0.860012,0.607344,1.0406,0.0
PB.3224.8,0.0,1.04052,0.0,0.93572,1.04445,1.28283
PB.3224.7,3.433,2.96588,2.76641,3.30383,5.2933,3.65704
PB.5360.1,26.464,29.0139,18.9753,31.6354,39.6663,20.6499
PB.3716.1,1.52678,0.871291,4.22255,0.783534,0.0,1.07419
PB.3224.5,1.71555,0.97902,0.0,0.880412,0.982717,1.20701
PB.3224.3,0.0,1.48578,1.27034,6.88419,0.745695,1.83177
PB.803.2,4.1519,3.79958,1.02075,20.2206,5.0952,3.12195
PB.3222.1,20.386,16.5335,16.7757,27.8847,27.6577,17.3625
PB.1354.3,2.64422,7.15106,4.41873,2.59719,0.0,6.13185
PB.181.2,4.20022,8.14963,6.96983,0.431106,0.4812,11.6359
PB.11135.5,0.0,1.34814,2.44952,1.48554,1.41481,0.809528
PB.3219.6,2.13063,0.0,0.0,1.09343,1.22048,0.0
PB.3217.3,0.0,0.507096,0.819183,0.0,1.52703,0.625184
PB.8143.8,5.60176,0.0,2.18523,0.0,4.45302,0.0
PB.2183.1,0.0,2.67141,4.17127,6.10705,4.51699,3.17024
PB.4544.6,2.51049,4.29801,0.0,2.57674,1.43808,7.06518
PB.9285.9,0.0,1.32598,7.0407,5.81654,3.33109,2.10263
PB.3216.1,1.9167,3.28143,1.76699,4.71309,9.88147,6.74263
PB.1302.2,11.0431,11.8514,14.2507,17.1827,16.1002,17.052
PB.2149.1,2.30501,2.63082,4.24993,3.54876,4.62132,0.810865
PB.3214.2,4.44783,1.26913,2.0502,2.2826,2.54784,0.0
PB.5316.1,15.987,15.0742,16.664,17.5813,19.0438,7.01243
PB.3214.1,22.2218,48.4197,65.1827,58.0572,54.3886,39.7969
PB.3213.1,4.34258,2.47819,5.33782,5.9429,2.48755,5.09215
PB.3341.1,2.95982,0.844544,1.36431,1.13922,0.423867,0.520607
PB.9742.1,0.514542,0.696254,0.9487,0.0,0.0,0.0
PB.3899.1,121.034,110.853,130.967,135.363,115.708,115.283
PB.11881.5,0.0,1.2936,0.0,0.53846,1.20202,0.834257
PB.2635.14,1.10462,1.26075,1.01833,0.566883,0.632755,0.77717
PB.698.3,4.82291,3.20221,4.70029,4.8841,4.50179,4.80964
PB.3212.1,2.73367,0.0,1.26007,0.701453,0.0,2.88498
PB.10557.20,1.00117,1.3302,2.84875,1.54045,3.32757,2.23104
PB.2898.2,3.12056,4.45204,8.62203,11.2102,12.5128,8.0013
PB.3211.3,6.83895,8.28107,9.16798,7.3402,12.7083,5.09686
PB.2436.20,6.0856,0.861342,1.3945,0.766846,0.0,1.08163
PB.4432.1,22.4331,33.511,13.99,10.8353,10.2047,19.9529
PB.3211.2,0.0,0.890185,0.0,0.338055,0.771528,0.0
PB.5711.3,1.20016,2.73777,0.0,0.617194,0.0,0.844394
PB.3211.1,0.0,1.41141,1.28723,0.349467,0.396761,1.43731
PB.8896.2,0.0,1.10649,7.14985,4.9752,0.0,0.0
PB.3210.1,1.16717,3.99642,2.15199,1.19797,1.33717,4.92708
PB.3209.1,0.0,0.0,0.980264,1.09138,0.609101,0.748117
PB.4694.6,5.43937,2.05925,3.30046,4.56881,5.06762,5.13628
PB.3208.1,1.28764,0.734819,4.38025,3.30404,14.8068,0.0
PB.3205.2,1.30387,1.8602,2.40404,2.00741,2.24067,1.37603
PB.2668.1,0.0,4.09773,2.48237,0.460626,1.0283,0.0
PB.6104.3,3.14784,0.0,0.0,0.400177,0.886367,0.0
PB.3913.1,0.0,0.0,1.46697,0.816629,0.455761,0.0
PB.9662.2,1.72649,0.49263,1.59163,1.32903,0.49449,2.42939
PB.3204.2,0.0,0.808793,0.0,0.727666,0.815433,0.992666
PB.2226.3,0.0,0.237983,0.0,0.764727,0.848895,0.0
PB.3204.1,29.2357,100.016,41.551,83.7382,103.932,54.8513
PB.3424.1,1.3199,5.27262,3.6504,8.80576,16.6337,0.928637
PB.3235.11,1.53917,0.878363,0.0,0.0,2.64504,0.0
PB.4932.8,7.62437,2.37692,28.4489,21.854,14.0952,3.67883
PB.3496.1,1.95044,1.11306,4.14033,5.38969,6.68797,3.12554
PB.5963.2,1.48718,1.07628,0.0,0.753719,2.52989,0.0
PB.3202.5,1.45866,0.0,1.34472,0.748576,0.0,1.02626
PB.10839.19,6.21009,4.91756,3.69346,2.27337,6.05343,2.60068
PB.4629.11,0.0,0.0,2.35278,1.11887,0.610304,2.01177
PB.2135.2,1.49241,0.456344,0.0,2.63977,0.458067,2.25045
PB.8753.5,2.47089,1.97837,0.0,1.2075,3.44929,0.0
PB.3200.6,0.445131,0.0,0.0,1.37063,0.254983,0.0
PB.7253.3,15.2709,21.5583,17.788,18.9832,23.2329,24.8804
PB.10207.2,2.68124,0.0,1.69177,0.626222,0.0,1.90531
PB.3200.4,1.15018,0.906555,2.51762,4.71181,2.36552,3.54165
PB.3201.1,4.6553,0.0,2.14583,0.0,1.33334,0.0
PB.9705.2,29.8154,45.0893,46.7269,42.7178,44.3907,37.6807
PB.5410.7,0.0,0.520261,0.0,0.93572,1.04445,0.0
PB.5571.10,0.796747,0.0,2.93804,0.0,0.912798,0.560564
PB.3200.3,0.0,0.0,0.924287,0.968669,1.77533,1.35757
PB.5978.16,1.81025,1.406,3.26897,0.379247,0.0,2.07581
PB.3200.2,8.42895,9.7104,9.9561,15.5451,5.81878,10.8562
PB.11425.7,1.47948,0.873119,1.38943,0.0,0.0,1.04419
PB.7034.2,16.4459,10.5648,13.1745,9.569,14.8297,10.7059
PB.3197.4,2.04671,6.62728,1.78528,11.9771,3.68684,3.21488
